Cluster ID,Top Words,Number of Playlists
8,"cast (210), broadway (137), original (94), recording (77), (glee (67), love (63), little (55), """"the (52), theme (48), remaster (48)",35
18,"love (357), remaster (111), like (98), man (91), 2015 (90), sweet (88), rock (83), long (75), come (74), 2011 (73)",125
7,"love (734), like (266), go (238), time (235), girl (226), one (218), good (207), get (203), little (195), man (193)",295
17,"party (25), theme (22), black (17), love (16), dub (15), one (14), night (12), la (12), girl (11), world (11)",39
6,"love (774), like (346), good (221), girl (217), one (192), go (188), know (185), night (172), let (166), time (165)",215
15,"love (738), like (198), go (149), come (137), girl (132), heart (131), want (124), good (124), time (123), life (122)",175
22,"love (390), girl (195), country (173), like (170), man (159), night (156), good (145), back (119), little (104), time (102)",154
21,"love (702), like (310), one (211), get (207), back (204), mix (203), go (179), good (176), girl (172), night (164)",216
13,"love (147), like (64), know (45), go (41), heart (41), good (40), way (38), back (36), one (34), time (33)",142
19,"love (470), like (153), mix (146), one (121), know (113), good (109), night (109), go (107), let (99), back (99)",189
3,"love (388), like (131), one (91), i'm (81), girl (77), way (71), time (68), back (66), good (66), let (64)",136
24,"lil (200), love (170), 2 (127), like (109), back (103), money (80), one (77), get (76), young (76), night (74)",141
20,"love (149), like (47), back (41), good (40), go (37), i'm (35), girl (34), get (34), one (32), night (32)",84
10,"mix (125), original (92), mixed (44), love (38), remix) (27), like (22), world (17), club (16), night (15), mix) (15)",30
2,"那些年 (4), love (3), 小酒窩 (3), 依然愛你 (3), 心跳 (3), 童話 (3), 珊瑚海 (2), mine (2), 我不配 (2), 聽媽媽的話 (2)",3
11,"love (283), mix (262), like (154), original (148), get (143), album (99), good (83), i'm (82), dance (81), can't (80)",120
0,"love (112), lil (100), 2 (86), like (73), back (72), get (64), money (62), one (58), night (56), black (54)",110
9,"christmas (816), santa (152), little (124), merry (118), bells (106), claus (100), night (97), let (83), home (80), jingle (71)",38
1,"el (517), de (455), la (405), te (281), mi (238), que (235), en (174), amor (160), tu (130), yo (109)",76
16,"still (5), know (5), love (5), got (5), want (4), feel (4), girl (4), cold (3), day (3), way (3)",18
4,"version"" (161), """"the (88), soundtrack (63), little (57), """"tangled""""/soundtrack (49), life (33), world (32), """"mulan""""/soundtrack"" (28), go (27), ""i (26)",21
23,"la (18), el (18), de (17), love (11), tu (10), studio (9), ka (9), en (8), para (8), te (7)",21
12,"minor (58), no. (28), ""symphony (25), concerto (24), major (19), g (17), e (13), c (11), ""violin (10), f (9)",5
5,"minor (61), no. (60), major (44), c (40), suite (24), piano (23), g (23), de (22), concerto (22), sonata (19)",11
14,"hai (10), mein (7), """"dilwale (6), dulhania (6), le (6), jayenge"""""" (6), pyar (5), kabhi (5), naa (4), ki (4)",2
